"Setting","Pleio_Effect","N_Pleio_SNP","AtoB","PhenoA_Specific_Pct_Genetic","PhenoA_Specific_Pct_Total","PhenoA_Pleio_Pct_Genetic","PhenoA_Pleio_Pct_Total","PhenoA_Env_Pct_Total","PhenoB_Causal_Pct_Genetic","PhenoB_Causal_Pct_Total","PhenoB_Pleio_Pct_Genetic","PhenoB_Pleio_Pct_Total","PhenoB_Specific_Pct_Genetic","PhenoB_Specific_Pct_Total","PhenoB_Env_Pct_Total"
"BothNeg",0.5,30,0.3,97.92,19.36,1.89,0.37,80.23,9.84,1.99,2.23,0.44,87.93,17.76,80.21
"BothNeg",0.5,40,0,97.92,19.53,2.17,0.43,80.05,0,0,2.69,0.52,97.31,19.07,79.79
"BothNeg",0.5,40,0.1,97.06,19.21,3.31,0.65,80.21,0.93,0.2,2.05,0.45,97.02,19.31,80.19
"BothNeg",0.5,40,0.2,96.78,19.28,2.74,0.55,80.07,4.07,0.81,2.68,0.5,93.25,18.61,79.93
"BothNeg",0.5,40,0.3,97.94,19.5,1.89,0.38,80.09,8.85,1.92,1.86,0.39,89.29,18.17,79.91
"BothNeg",0.5,50,0,96.54,19.4,3.52,0.71,79.91,0,0,1.68,0.37,98.32,19.82,80.12
"BothNeg",0.5,50,0.1,97.24,19.99,2.93,0.6,79.44,1.24,0.27,3.1,0.64,95.66,19.38,80.07
"BothNeg",0.5,50,0.2,97,19.46,3.24,0.65,79.94,4.06,0.81,2.21,0.45,93.73,18.63,79.83
"BothNeg",0.5,50,0.3,98.39,19.97,1.73,0.35,79.7,10.24,2.04,3.34,0.72,86.43,17.45,79.79
"BothNeg",1,10,0,98.46,19.49,1.79,0.36,80.21,0,0,1.82,0.31,98.18,19.51,79.81
"BothNeg",1,10,0.1,96.7,19.51,4.13,0.83,79.83,1.12,0.22,2.23,0.5,96.65,18.92,79.88
"BothNeg",1,10,0.2,95.75,18.99,3.67,0.73,80.17,4.35,1,3.55,0.74,92.1,18.58,79.9
"BothNeg",1,10,0.3,96.91,19.18,3.48,0.69,80.21,11.65,2.43,2.64,0.5,85.72,16.88,80.32
"BothNeg",1,20,0,95.02,19.11,4.85,0.97,79.89,0,0,7.8,1.5,92.2,17.94,79.84
